Optimale Uhr fuer  Unterrichtsbeginn;Frueheste Uhr fuer  Unterrichtsbeginn;Spaeteste Uhr fuer  Unterrichtsbeginn;Dif zum optimalen Schulbeginn;Dif zum fruehesten Unterrichtsbeginn;Dif zum spaetesten Unterrichtsbeginn;Schultyp;Schueleranzahl;Schulbeginn_Stunde1_7Uhr;Schulbeginn_Stunde2_8Uhr;Schulende_Stunde5_11Uhr;Schulende_Stunde6_12Uhr;Schulende_Stunde8_14Uhr;Schulende_Stunde10_15Uhr;Leistungen 30 Minuten frueh;Leistungen 20 Minuten frueh;Leistungen 10 Minuten frueh;Leistungen_ohne_Verchiebung;Leistungen10 Minuten spaet;Leistungen 20 Minuten spaet;Leistungen  30 Minuten spaet;Leistungen 40 Minuten spaet;Mensa;andere Essensmoeglichkeit;keine Essensmoeglichkeit;Ab wann Essen_12Uhr;Betreuung_vor_Unterricht;Betreuung_nach_Unterricht;Betreuungspersonal_30 Minuten frueh;Betreuungspersonal_20 Minuten frueh;Betreuungspersonal_10 Minuten frueh;Betreuungspersonal_keine_Verschiebung;Betreuungspersonal_10 Minuten spaet;Betreuungspersonal_20 Minuten spaet;Betreuungspersonal_30 Minuten spaet;Betreuungspersonal_40 Minuten spaet;Lehrer_an_anderer_Schule;Zeit fuer Lehrer;Schueler_an_anderer_Schule;Zeit fuer Schueler;Kinderbetreeung_30Minfrueh;Kinderbetreeung_20Minfrueh;Kinderbetreeung_10Minfrueh;Kinderbetreuung_keine_Verschiebung;Kinderbetreeung_10Minspaet;Kinderbetreeung_20Minspaet;Kinderbetreeung_30Minspaet;Kinderbetreeung_40Minspaet;Spaetestes SchulendeStunde 5_12Uhr;Spaetestes SchulendeStunde 6_13Uhr;Spaetestes SchulendeStunde 8_15Uhr;Spaetestes SchulendeStunde 10_16Uhr;Reale Buseinsparung;Zusaetzliche oePNV-Fahrten;Kuerzere Schulbusfahrten;ohne Umstieg;Parallele Verbindungen;Fahrtenangebot zu ihrer Schule;Gleichzeitige Befoerderung Schuelern einer Schule;Fav_Reale Buseinsparung;Fav_Zusaetzliche oePNV-Fahrten;Fav_Kuerzere Schulbusfahrten;Fav_ohne Umstieg;Fav_Parallele Verbindungen;Fav_Fahrtenangebot zu ihrer Schule;Fav_Gleichzeitige Befoerderung Schuelern einer Schule;Wartezeit_Busankunft_Schulbeginn_aktuell;Wartezeit_Schulende_Busabfahrt_aktuell;Wartezeit_Busankunft_Schulbeginn_Wunsch;Wartezeit_Schulende_Busabfahrt_wunsch;selbstaktiv_30 Minuten frueh;selbstaktiv_20 Minuten frueh;selbstaktiv_10 Minuten frueh;selbstaktiv_keine_Verschiebung;selbstaktiv_10 Minuten spaet;selbstaktiv_20 Minuten spaet;selbstaktiv_30 Minuten spaet;selbstaktiv_40 Minuten spaet
30;-40;60;40;30;70;2;4;50;40;85;75;100;140;;;;0;;;;;1;0;0;30;0;1;0;0;0;0;0;0;0;0;1;45;1;45;-1;-1;-1;0;1;1;1;0;30;15;30;60;1;1;1;1;0;;1;0;0;1;1;0;1;0;2;2;2;2;0;0;0;0;0;0;0;0
30;0;60;55;;85;3;2;35;20;55;40;60;;-2;-2;-2;0;0;1;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;60;0;20;;;;0;;;;;0;0;30;;0;1;0;1;1;1;0;0;0;0;1;0;1;0;;;4;3;-2;-2;-1;0;0;1;1;2
15;-30;15;0;45;0;1;1;75;60;85;75;100;;-1;;;0;;;;;1;0;0;150;1;1;0;0;0;0;-1;-1;-1;-1;1;15;0;;1;;;0;;;;;30;30;40;-20;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;;;;0;;;0;;;;
-15;-30;-5;10;5;20;2;4;35;20;55;45;95;140;;;;0;;;;;1;0;0;215;0;1;0;0;0;0;0;0;0;0;1;15;0;10;;;;0;;;;;15;0;35;80;0;1;1;1;1;1;0;0;1;1;0;1;0;0;4;2;4;2;;;;0;;;;
-10;-30;15;15;5;40;2;3;35;25;20;55;35;20;-2;-2;-1;0;0;-1;-2;-2;1;0;0;150;0;1;-1;-1;;0;;0;0;0;1;30;0;;-1;-1;0;0;0;0;-1;-1;30;15;-15;30;;;1;1;;1;;0;0;1;1;0;1;0;4;4;3;3;-2;-1;0;0;0;1;-1;-2
;;;;;;3;3;50;35;70;55;60;;-1;-1;0;0;0;1;1;1;0;0;1;;0;1;0;0;0;0;0;0;0;0;0;20;0;15;;;;0;;;;;;;;;0;1;1;1;1;1;1;0;0;0;0;0;0;0;;;;;;;;0;;;;
0;-15;30;-10;25;20;5;3;70;55;90;75;25;70;-1;-1;0;0;0;-1;-1;-1;1;0;0;120;1;0;;;;0;;;;;1;10;0;;0;0;0;0;-1;-1;-1;-1;45;30;-30;15;1;1;1;1;1;1;1;0;0;1;0;1;1;0;3;3;2;2;-1;-1;0;0;0;0;-1;-1
0;-20;0;20;0;20;2;4;40;25;10;0;60;100;;;;0;;;;;1;0;0;-60;0;0;-1;-1;0;0;0;-1;-1;-1;1;30;0;30;;;;0;;;;;0;-15;0;40;1;1;1;1;1;1;0;0;1;0;0;1;1;0;3;4;3;3;;;;0;;;;
0;-15;0;10;5;10;1;5;50;40;70;60;60;;-2;-2;-2;0;0;0;0;1;0;0;1;180;0;0;;;;0;;;;;0;30;0;;-1;-1;0;0;0;-1;-1;-1;10;0;0;45;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;2;2;2;-1;-1;-1;0;0;0;0;1
30;-30;30;35;25;35;5;1;55;65;85;70;45;;-2;-2;-2;0;-2;-2;-2;-2;1;0;0;120;0;0;-1;-1;-1;0;;;;;0;20;0;20;-1;-1;-1;0;-1;-1;-1;-1;;;;-30;1;0;1;1;1;1;1;0;0;0;1;1;1;0;2;;2;3;0;0;0;0;0;0;0;0
;;;;;;3;3;50;35;65;50;90;130;-2;-1;0;0;0;0;1;1;1;0;0;;0;1;;;;0;;;;;1;45;0;;-1;-1;-1;0;0;0;0;1;0;-15;30;;0;1;1;1;1;1;1;0;0;0;1;1;1;0;4;5;3;3;;;;0;;;;
30;-15;60;35;10;65;1;6;55;40;30;15;-5;30;-1;-1;0;0;0;1;1;1;1;0;0;120;0;1;;;;0;;;;;0;;1;15;-1;-1;0;0;0;1;1;1;;;0;;1;1;1;1;1;1;1;0;1;1;0;0;1;0;5;5;3;3;-1;0;0;0;0;0;1;1
;-30;60;;0;90;3;2;30;15;40;30;90;;;;;0;;;;;1;0;0;;0;0;-1;-1;-1;0;0;0;0;0;0;;0;;-1;-1;-1;0;1;1;1;1;-20;-30;30;;;1;;1;;1;;0;1;0;0;0;1;0;4;3;;;;;;0;;;;
-15;-30;30;5;10;50;2;4;40;25;60;45;85;120;;;;0;;1;1;1;1;0;0;0;0;1;;;;0;;1;1;1;0;;0;;-1;-1;;0;;;;;0;-15;30;60;0;1;1;1;1;1;0;0;1;0;0;1;1;0;3;3;2;2;0;0;0;0;0;0;0;0
30;-30;90;50;10;110;2;3;40;30;65;55;30;65;-2;-1;0;0;0;1;2;2;1;0;0;;0;1;0;0;0;0;0;0;0;0;1;60;0;60;-1;-1;0;0;0;0;-1;-1;45;30;0;60;0;0;1;1;1;1;0;0;0;0;1;1;1;0;3;3;3;3;0;0;0;0;0;0;0;0
0;-30;20;10;20;30;2;5;50;40;75;65;85;120;-2;-1;-1;0;0;-1;-1;-1;0;1;0;;0;1;;;;0;;;;;1;30;0;10;-1;-1;;0;;-1;-1;-1;30;20;0;30;1;1;1;1;1;1;;0;0;1;0;0;1;0;4;4;3;3;-1;-1;;0;0;;;-2
0;-30;45;15;15;60;5;1;45;45;75;60;90;;-2;-2;-1;0;0;-2;-2;-2;1;0;0;180;1;1;-1;-1;0;0;0;-1;-1;-1;1;10;0;;0;0;0;0;0;0;0;0;30;15;45;;1;1;1;1;1;1;1;0;1;1;0;0;1;0;2;3;2;2;0;0;0;0;0;0;0;0
30;-30;90;60;0;120;2;3;30;15;45;30;5;40;-1;-1;-1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;20;1;20;-1;-1;-1;0;0;1;1;1;0;0;-45;0;1;1;1;1;1;1;1;0;1;0;1;0;1;0;5;5;3;3;-2;-2;-1;0;0;1;1;2
45;0;60;65;20;80;2;2;40;30;70;60;90;130;-2;-2;-1;0;1;1;2;2;0;1;0;0;0;0;;;;0;;;;;1;60;1;20;-1;-1;-1;0;1;1;1;1;;;30;75;1;;1;1;1;0;0;0;0;0;0;1;0;0;;;4;4;-1;-1;-1;0;0;0;0;0
30;-30;60;60;0;90;5;2;30;30;30;30;100;;-2;-2;-2;0;0;1;2;2;1;0;0;210;1;1;1;0;0;0;-1;-1;-1;-1;1;15;0;5;;;;0;;;;;30;15;40;30;0;1;0;0;1;1;1;0;0;0;0;1;1;1;;;2;2;-1;-1;-1;0;1;1;2;2
30;0;60;60;30;90;2;3;30;20;50;40;95;90;-2;-2;-2;0;0;1;2;2;1;0;0;-15;0;1;-1;-1;-1;0;0;0;;;1;60;0;60;-1;-1;-1;0;1;1;1;;;60;;;1;0;1;1;1;1;1;0;0;1;1;0;0;1;5;5;3;4;-2;-2;-2;0;1;2;2;
-15;-45;0;20;10;35;3;2;25;10;45;30;45;;-2;-2;-1;0;0;0;;;1;0;0;0;0;0;;;;0;;;;;1;20;0;10;;;;0;-1;-1;-1;-1;15;0;30;30;1;0;1;1;0;1;0;0;0;0;0;1;1;1;5;4;2;2;-1;-1;0;0;0;0;;
0;-30;30;10;20;40;2;5;50;35;75;60;85;120;0;0;0;0;0;0;0;0;1;0;0;120;0;1;;;;0;;;;;1;10;1;10;-1;-1;-1;0;0;-1;-1;-1;30;0;30;60;1;0;0;1;1;0;0;1;0;0;1;1;0;0;3;3;2;2;-1;-1;0;0;0;0;1;1
0;-30;30;30;0;60;3;4;30;35;75;60;85;;-2;-2;-1;0;0;0;0;0;0;1;0;0;0;0;-1;-1;-1;0;-1;-1;-1;-1;0;30;0;20;-1;-1;-1;0;-1;-1;-1;-1;30;30;60;120;0;1;1;1;1;1;0;0;1;1;1;0;0;0;5;5;3;3;-1;-1;0;0;0;0;-1;-1
-10;-15;;0;5;;3;2;50;35;65;55;45;85;;;;0;;;;;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;;0;;-1;-1;-1;0;;-1;-1;-1;10;0;-15;30;0;0;1;1;1;1;0;0;0;1;1;1;0;0;2;2;2;2;0;0;0;0;0;0;0;0
-10;-30;40;0;20;50;2;4;50;40;70;60;40;80;;;;0;;;;;1;0;0;;0;0;;;;0;;;;;1;15;0;;;;;0;;;;;;;;;1;1;1;1;1;1;0;0;1;0;0;1;1;0;2;2;3;3;;;;0;;;;
;;;;;;1;4;25;10;25;25;60;;-1;-1;-1;0;0;1;2;2;1;0;0;180;0;1;-1;-1;;0;;-1;-1;-1;1;20;0;;;;;0;;;;;;;60;;;1;1;;;1;;0;0;0;0;0;1;0;;2;;;;;;0;;;;
0;-30;30;15;15;45;4;1;45;35;65;55;55;;-2;-2;-1;0;1;0;0;-1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;15;0;15;1;1;0;0;0;-1;-1;-1;60;60;60;60;1;0;1;1;1;1;;0;0;1;1;1;0;0;3;;3;2;1;1;0;0;0;1;1;1
0;-30;30;30;0;60;2;3;30;40;70;60;80;120;-2;-2;-1;0;0;1;-1;-2;1;0;0;105;0;1;-1;-1;;0;0;0;0;0;1;30;0;;-1;-1;0;0;0;;;;0;0;20;30;;;1;1;;1;0;0;0;1;1;0;1;0;5;4;2;2;0;0;0;0;0;0;0;0
;;;;;;5;2;;;;;;;-1;-1;0;0;0;1;1;;1;0;0;120;1;1;;;;0;;;;;1;30;0;30;-1;-1;0;0;0;;-1;-1;30;15;-30;0;1;1;1;0;0;1;0;1;1;0;0;0;1;0;;;;;-1;-1;0;0;0;1;1;
0;-15;15;0;15;15;5;2;60;45;90;75;65;50;;;;0;;;;;1;0;0;;1;1;0;0;0;0;0;0;0;0;1;15;0;;-1;-1;0;0;0;-1;-1;-1;;;;;1;1;1;1;1;1;1;0;1;0;0;1;1;0;4;3;3;3;-2;-2;-1;0;0;-1;-2;-2
0;0;60;15;15;75;4;1;45;30;70;60;;;-2;-2;-2;0;0;1;2;2;1;0;0;60;0;0;-1;-1;-1;0;;;;;0;;0;.;-1;-1;-1;0;0;0;0;0;;;;;0;1;1;1;1;1;0;0;1;0;1;0;1;0;;;3;3;-2;-2;-1;0;0;0;0;0
-15;-30;0;0;15;15;2;1;45;35;60;65;50;90;-2;-2;-1;0;0;0;;;1;0;0;90;0;0;;;0;0;0;0;;;0;;1;20;-1;-1;-1;0;0;0;1;1;;;;;1;1;1;1;1;0;0;1;0;1;1;0;0;0;;;;;-2;-2;-1;0;0;0;-1;-1
-15;-30;0;5;10;20;1;2;40;30;75;65;105;;;;;0;;;;;1;0;0;;0;0;;;;0;;;;;1;15;0;15;-1;0;0;0;0;0;-1;-1;30;15;60;90;1;;;;1;1;;1;0;0;0;1;1;0;2;2;2;2;0;0;0;0;0;0;0;0
0;-15;30;20;5;50;2;2;40;30;60;50;20;65;-2;-2;-2;0;1;2;2;2;0;0;1;210;0;0;;;;0;;;;;1;10;0;10;-1;-1;-1;0;1;1;1;1;0;-10;-40;5;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;3;2;3;-2;-2;-1;0;1;2;2;2
-15;-30;0;-5;20;10;3;3;50;35;80;65;65;;;;0;0;0;;;-1;0;0;1;65;0;0;;;;0;;;;;0;;0;;-1;;0;0;0;;;;40;25;45;;;0;1;1;1;1;1;0;0;1;1;0;1;0;4;3;2;2;-2;-1;0;0;0;;;
0;-30;60;15;15;75;2;1;45;35;70;60;75;120;;;0;0;0;0;0;1;0;1;0;120;0;1;0;0;0;0;0;0;-1;-1;1;15;1;5;;;;0;;;;;45;30;20;90;0;0;1;1;1;1;0;0;0;0;0;1;0;0;4;5;3;3;-1;-1;0;0;0;0;1;1
0;-15;0;15;0;15;5;3;45;30;75;60;90;120;-2;-1;-1;0;0;1;1;-1;1;0;0;120;1;1;-1;-1;;0;;-1;-1;-1;1;15;0;;;;0;0;0;;;;30;30;60;90;1;0;1;1;0;1;0;1;0;1;1;0;0;0;2;2;2;2;-2;-1;-1;0;0;1;-1;-1
-15;-30;30;15;0;60;3;2;30;20;50;50;;;-1;-1;0;0;1;1;2;2;0;0;1;60;0;0;-1;-1;0;0;0;-1;-1;-1;0;20;0;20;-1;0;0;0;0;0;1;1;10;0;-30;;0;0;1;1;1;0;1;0;0;1;1;1;0;0;5;2;3;2;-2;-1;0;0;0;0;1;1
-15;-15;30;-10;10;35;3;2;55;45;90;80;55;;-1;-1;0;0;1;1;1;-1;1;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;;-1;-1;-1;0;1;1;1;1;;30;0;;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;3;2;3;0;0;0;0;0;0;0;0
